[2025-07-19 16:51:22] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-19 16:51:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-19T12:51:22.926000+00:00', 'pinned': False, 'nonce': '1396112183250649088', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1395793067667361812'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-09T05:15:41.043000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1396112182952988732', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '-question', 'components': [], 'channel_type': 0, 'channel_id': '1371107481199181864', 'author': {'username': 'tiredbrainlet', 'public_flags': 0, 'primary_guild': None, 'id': '1369774389809119365', 'global_name': 'Phrog', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'd6db0906cada57a617c9f633c9cbd8f9'}, 'attachments': [], 'guild_id': '1369675404239179796'}}
[2025-07-19 16:51:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 16:51:23] [DEBUG   ] discord.client: Dispatching event message
[2025-07-19 16:51:23] [DEBUG   ] discord.client: Dispatching event command
[2025-07-19 16:51:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-19T12:51:23.314000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1393056327143657565'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T02:28:30.247204+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1396112184580243506', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'What binds the present to the past and foretells the future?', 'components': [], 'channel_type': 0, 'channel_id': '1371107481199181864', 'author': {'username': 'misterFrog', 'public_flags': 0, 'primary_guild': None, 'id': '1393054316947968110', 'global_name': None, 'display_name_styles': None, 'discriminator': '8049', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1369675404239179796'}}
[2025-07-19 16:51:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-19 16:51:23] [DEBUG   ] discord.client: Dispatching event message
[2025-07-19 16:51:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1371107481199181864/messages with {"content":"What binds the present to the past and foretells the future?","components":[],"tts":false} has returned 200
[2025-07-19 16:51:24] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-19 16:51:24] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1371107481199181864/messages has received {'type': 0, 'content': 'What binds the present to the past and foretells the future?', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-19T12:51:23.314000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1396112184580243506', 'channel_id': '1371107481199181864', 'author': {'id': '1393054316947968110', 'username': 'misterFrog', 'avatar': None, 'discriminator': '8049', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False}
[2025-07-19 16:51:24] [DEBUG   ] discord.client: Dispatching event command_completion
